year,tag,works_total_matsuda,top20_hits_sum_matsuda,works_total_conan,top20_hits_sum_conan,works_share_in_conan,hits_share_in_conan,matsuda_top20_mean_hits,conan_top20_mean_hits,relative_mean_hits_vs_conan
2016,Matsuda Jinpei,1,1248,422,417857,0.002369668246445498,0.002986667687749637,1248.0,20892.85,0.05973335375499274
2017,Matsuda Jinpei,0,0,543,720374,0.0,0.0,0.0,36018.7,0.0
2018,Matsuda Jinpei,7,8503,711,787136,0.009845288326300985,0.010802453451500122,1214.7142857142858,39356.8,0.030864152718571777
2019,Matsuda Jinpei,6,9514,1143,1126012,0.005249343832020997,0.008449288284671922,1585.6666666666667,56300.6,0.02816429428223974
2020,Matsuda Jinpei,15,26972,1655,497664,0.00906344410876133,0.05419720936213992,1798.1333333333334,24883.2,0.07226294581618656
2021,Matsuda Jinpei,57,77215,1469,688272,0.03880190605854323,0.11218675174930841,3860.75,34413.6,0.11218675174930842
2022,Matsuda Jinpei,204,172536,2194,483165,0.09298085688240657,0.3570954021917978,8626.8,24158.25,0.3570954021917978
2023,Matsuda Jinpei,224,141249,2636,437422,0.08497723823975721,0.322912427815702,7062.45,21871.1,0.322912427815702
2024,Matsuda Jinpei,132,93321,2577,616748,0.051222351571594875,0.15131139460525206,4666.05,30837.4,0.15131139460525206
2025,Matsuda Jinpei,178,90963,2919,479790,0.06097978759849263,0.18958919527293192,4548.15,23989.5,0.1895891952729319
2026,Matsuda Jinpei,117,61145,1466,751333,0.07980900409276943,0.08138202368324032,3057.25,37566.65,0.08138202368324032
