year,萩原研二,降谷零,诸伏景光,伊达航,江户川柯南,其他,top5_sum
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,0.1792452830188679,0.19811320754716982,0.05660377358490566,0.09433962264150944,0.14150943396226415,0.330188679245283,0.6698113207547169
2017,0.47368421052631576,0.1695906432748538,0.09941520467836257,0.07602339181286549,0.05263157894736842,0.1286549707602339,0.871345029239766
2018,0.4281505728314239,0.23436988543371523,0.16955810147299508,0.09819967266775777,0.023895253682487724,0.04582651391162029,0.9541734860883797
2019,0.4555198285101822,0.1982851018220793,0.18756698821007503,0.0961057520543051,0.027152554483744193,0.03536977491961415,0.9646302250803859
2020,0.4642857142857143,0.18582589285714285,0.18024553571428573,0.09207589285714286,0.03125,0.04631696428571429,0.9536830357142858
2021,0.38748564867967855,0.19001148105625718,0.17393800229621126,0.12342135476463835,0.04707233065442021,0.07807118254879448,0.9219288174512055
2022,0.40724441435341907,0.2092078537576168,0.17840216655382532,0.11712931618144888,0.025050778605280974,0.06296547054840894,0.9370345294515909
2023,0.38398520084566595,0.22489429175475686,0.19978858350951373,0.10306553911205074,0.0330338266384778,0.055232558139534885,0.944767441860465
2024,0.39476553980370777,0.2044711014176663,0.19683751363140675,0.10141766630316248,0.04416575790621592,0.05834242093784078,0.9416575790621593
2025,0.360378101614809,0.20244190626230799,0.2500984639621898,0.10594722331626624,0.02993304450571091,0.05120126033871603,0.9487987396612839
2026,0.464938126104891,0.19269298762522097,0.16794342958161462,0.0901591043017089,0.041838538597525045,0.04242781378903948,0.9575721862109605
