year,matsuda_total_works_3sites,matsuda_total_top20_heat_3sites,matsuda_share_in_conan_3sites,conan_total_works_3sites
2010,0,0,0.0,145
2011,0,0,0.0,414
2012,2,100,0.001658374792703151,1206
2013,8,1073,0.004764740917212627,1679
2014,4,410,0.001600640256102441,2499
2015,7,1002,0.0018617021276595746,3760
2016,74,11400,0.008801141769743101,8408
2017,153,25682,0.018329938900203666,8347
2018,2600,32019,0.17827756445419637,14584
2019,2548,30677,0.27106382978723403,9400
2020,1581,35546,0.1908267954133977,8285
2021,1257,86317,0.17443796835970024,7206
2022,5059,185246,0.49438092446008014,10233
2023,3048,145751,0.27736827736827735,10989
2024,1615,97805,0.1710261569416499,9443
2025,2218,93011,0.17523899818282374,12657
2026,1456,62768,0.27450980392156865,5304
