词,tfidf_sum
白月光,98.91967622157236
喜欢,80.43485072752405
呜呜,72.66548704489685
啊啊啊,72.19448205456379
高木,58.17914093824848
意难平,56.02185050549853
佐藤,55.45738917438996
就是,51.835428769829164
现在,49.29257733971312
哈哈哈,44.57010753721907
警校,44.20504379235994
不是,41.725913696364735
永远,41.419929409052514
画风,40.35324937019446
这么,36.41973701942024
柯南,36.33521654353742
时候,35.60760724837011
小阵平,35.02118870404718
马自达,34.18600957083363
警官,33.43007925254135
复活,33.137821744566196
为什么,32.47899822021253
加油,30.454488892970037
好帅,29.793219864243596
萩原,29.309465709801568
可爱,27.4767016509879
以前,26.505047086562065
太帅,25.097562354874295
一集,24.591526905254646
那么,24.107462048768298
最后,23.937094606623695
一直,23.642608950991963
已经,23.459991517522308
还有,23.26305258328815
五人组,22.916270020843523
其实,22.874576143020565
一下,22.294963020807494
好看,22.166595614559945
剧场版,21.380219890940964
出场,21.194719831231254
不会,21.056392013784784
青山,20.898090529512892
这是,20.659567419272314
可能,20.3389098037761
角色,20.30969303269798
景光,19.964402442393677
阵平酱,19.39004952512751
哈哈哈哈,19.152171620821328
千速,19.064939849292152
封面,19.02762877597141
回忆,19.006296237515105
萩松,18.95804374182855
一样,18.875503641901147
老公,18.490359927823633
甜甜,18.28001334345132
看好,17.670076057588236
不能,17.627090013407635
回来,17.577559824914747
以为,17.514748460648946
好像,17.31940204658148
摩天轮,17.190936931221035
不要,17.150635140577595
直接,17.134791790923234
老师,17.00249558204052
活着,16.957511341219327
帅哥,16.666084746127446
西瓜,16.6227532647834
真是,16.518040697412125
炸弹,16.502578540403498
一起,16.332549884547664
警察,16.047264344201096
这种,15.187273998869898
之前,15.155897382341028
后面,15.155326462430065
hagi,15.154368748934624
要是,14.820859286181362
男人,14.762666838317624
漫画,14.748102599513553
好好,14.598045989813864
出现,14.436008899092624
两个,14.417921807887868
希望,14.262629986026896
剧情,14.214807275601279
特别,13.963286679566814
当时,13.884269614823918
居然,13.578181476629522
遗憾,13.496497779876892
第几,13.42560683769898
研二,13.27646240636196
有点,13.179270669251533
难平,13.157923744558346
今天,13.088237996074167
只是,12.740852533472097
为了,12.718498775492469
可惜,12.67491675349564
突然,12.643175882840215
谢谢,12.603418593694311
名柯,12.592002167831117
开始,12.549296662050441
老贼,12.40846697106674
救命,12.386542032451425
我们,12.255702458879142
爆炸,12.219110989198951
降谷,12.099463935606241
安室,12.044427399435143
的话,11.911668776248534
驯染,11.76014168948473
一点,11.715614461477204
三连,11.665750073330663
原来,11.581171390082229
故事,11.528310835126334
终于,11.502318608175344
动画,11.413182692534305
记得,11.399897196624975
牺牲,11.386502133886747
松佐,11.19024638696505
时间,11.036822647235924
一定,10.964559180273953
快斗,10.834338746997025
可是,10.801816704678249
前排,10.787584613664212
狂喜,10.76113579162791
多少,10.739732225829604
白皮,10.69996865562105
之后,10.686635090148641
明明,10.67918206141395
人气,10.624600050859575
人物,10.476844624356696
哪集,10.349702504291992
每次,10.187723669245738
原研,10.16462231915773
完全,10.097127656788745
变成,10.056922899232848
一次,10.034405526103448
那种,10.00332578227359
不错,9.987462485876643
竟然,9.982438292015456
万圣节,9.946971363924309
哈哈,9.933318468299095
只有,9.930568336016718
想到,9.922259344188374
白马,9.749818407512338
发现,9.569377454416768
人质,9.431744513354902
伊达,9.413329526493648
更新,9.384257602498762
新娘,9.36320319373136
龙平,9.355809900623955
心里,9.337290117956275
太太,9.325755290810639
除了,9.22541235661531
成为,9.116292719745159
双厨,9.102307881758408
他俩,9.073367967993773
刀子,9.021717172157157
不了,9.019427167946287
难过,8.958370134701331
透子,8.918818932189177
很帅,8.909310667135525
看看,8.835347392429046
表白,8.800762758437587
世界,8.762769639568189
温柔,8.74022584372798
印象,8.729583852268899
美和子,8.637744558016342
很多,8.62686785749659
进来,8.541051539339987
高佐,8.524778991072811
根本,8.521892136617742
一对,8.479494093381314
好感,8.42505330676517
基德,8.388179441124072
样子,8.37120749945561
死去,8.267817560007805
晚上,8.201704984290306
班长,8.189005410832484
殉职,8.148681014764202
一句,8.091444936034673
来看,8.082096035039477
哪里,8.057421864387685
厉害,8.037051518951996
五人,7.995824399969557
一辈子,7.978313778111589
眼泪,7.943826303330607
侦探,7.872715772403088
本来,7.8420968615404165
那里,7.821942778222306
短信,7.801509147872833
原谅,7.798510319946894
不过,7.798418357762357
只能,7.792787711580176
首页,7.738901922982433
个人,7.725788092580281
忘不了,7.687304816921157
声音,7.6270896004817335
忘记,7.624214154049184
里面,7.614119442026516
不好,7.583823406191052
主角,7.562433982709089
简直,7.550082202569897
